context,answer,question
"Nachdem er Edisons Firma verlassen hatte, verbündete sich Tesla 1886 mit zwei Geschäftsleuten, Robert Lane und Benjamin Vail, die sich bereit erklärten, ein Elektrikunternehmen in Teslas Namen, Tesla Electric Light & Manufacturing zu finanzieren. Das Unternehmen installierte Lichtbogenbeleuchtungssysteme, die von Tesla entworfen wurden, und besaß auch Entwürfe für Lichtmaschinenkommutatoren, die ersten Patente, die Tesla in den USA angemeldet hatte.",Robert Lane und Benjamin Vail,Mit wem verbündete sich Tesla 1886?
"Nachdem er Edisons Firma verlassen hatte, verbündete sich Tesla 1886 mit zwei Geschäftsleuten, Robert Lane und Benjamin Vail, die sich bereit erklärten, ein Elektrikunternehmen in Teslas Namen, Tesla Electric Light & Manufacturing zu finanzieren. Das Unternehmen installierte Lichtbogenbeleuchtungssysteme, die von Tesla entworfen wurden, und besaß auch Entwürfe für Lichtmaschinenkommutatoren, die ersten Patente, die Tesla in den USA angemeldet hatte.",Tesla Electric Light & Manufacturing,Was finanzierten Lane und Vail?
"Nachdem er Edisons Firma verlassen hatte, verbündete sich Tesla 1886 mit zwei Geschäftsleuten, Robert Lane und Benjamin Vail, die sich bereit erklärten, ein Elektrikunternehmen in Teslas Namen, Tesla Electric Light & Manufacturing zu finanzieren. Das Unternehmen installierte Lichtbogenbeleuchtungssysteme, die von Tesla entworfen wurden, und besaß auch Entwürfe für Lichtmaschinenkommutatoren, die ersten Patente, die Tesla in den USA angemeldet hatte.",Patente,Was erhielt Tesla nach der Gründung seines Unternehmens zum ersten Mal?
"Nachdem er Edisons Firma verlassen hatte, verbündete sich Tesla 1886 mit zwei Geschäftsleuten, Robert Lane und Benjamin Vail, die sich bereit erklärten, ein Elektrikunternehmen in Teslas Namen, Tesla Electric Light & Manufacturing zu finanzieren. Das Unternehmen installierte Lichtbogenbeleuchtungssysteme, die von Tesla entworfen wurden, und besaß auch Entwürfe für Lichtmaschinenkommutatoren, die ersten Patente, die Tesla in den USA angemeldet hatte.",Lichtbogenbeleuchtungssysteme,Was wurde in Teslas Firma produziert?
"Nachdem er Edisons Firma verlassen hatte, verbündete sich Tesla 1886 mit zwei Geschäftsleuten, Robert Lane und Benjamin Vail, die sich bereit erklärten, ein Elektrikunternehmen in Teslas Namen, Tesla Electric Light & Manufacturing zu finanzieren. Das Unternehmen installierte Lichtbogenbeleuchtungssysteme, die von Tesla entworfen wurden, und besaß auch Entwürfe für Lichtmaschinenkommutatoren, die ersten Patente, die Tesla in den USA angemeldet hatte.",Robert Lane und Benjamin Vail,Wie hießen die neuen Partner von Tesla?
"Nachdem er Edisons Firma verlassen hatte, verbündete sich Tesla 1886 mit zwei Geschäftsleuten, Robert Lane und Benjamin Vail, die sich bereit erklärten, ein Elektrikunternehmen in Teslas Namen, Tesla Electric Light & Manufacturing zu finanzieren. Das Unternehmen installierte Lichtbogenbeleuchtungssysteme, die von Tesla entworfen wurden, und besaß auch Entwürfe für Lichtmaschinenkommutatoren, die ersten Patente, die Tesla in den USA angemeldet hatte.",1886,"Wann entstand die Partnerschaft zwischen Tesla, Lane und Vail?"
"Nachdem er Edisons Firma verlassen hatte, verbündete sich Tesla 1886 mit zwei Geschäftsleuten, Robert Lane und Benjamin Vail, die sich bereit erklärten, ein Elektrikunternehmen in Teslas Namen, Tesla Electric Light & Manufacturing zu finanzieren. Das Unternehmen installierte Lichtbogenbeleuchtungssysteme, die von Tesla entworfen wurden, und besaß auch Entwürfe für Lichtmaschinenkommutatoren, die ersten Patente, die Tesla in den USA angemeldet hatte.",Tesla Electric Light & Manufacturing,"Wie hieß das Unternehmen, das die Geschäftsleute finanzierten?"
"Nachdem er Edisons Firma verlassen hatte, verbündete sich Tesla 1886 mit zwei Geschäftsleuten, Robert Lane und Benjamin Vail, die sich bereit erklärten, ein Elektrikunternehmen in Teslas Namen, Tesla Electric Light & Manufacturing zu finanzieren. Das Unternehmen installierte Lichtbogenbeleuchtungssysteme, die von Tesla entworfen wurden, und besaß auch Entwürfe für Lichtmaschinenkommutatoren, die ersten Patente, die Tesla in den USA angemeldet hatte.",Das Unternehmen installierte Lichtbogenbeleuchtungssysteme,In welchem Bereich war Tesla Electric Light & Manufacturing tätig?
"Nachdem er Edisons Firma verlassen hatte, verbündete sich Tesla 1886 mit zwei Geschäftsleuten, Robert Lane und Benjamin Vail, die sich bereit erklärten, ein Elektrikunternehmen in Teslas Namen, Tesla Electric Light & Manufacturing zu finanzieren. Das Unternehmen installierte Lichtbogenbeleuchtungssysteme, die von Tesla entworfen wurden, und besaß auch Entwürfe für Lichtmaschinenkommutatoren, die ersten Patente, die Tesla in den USA angemeldet hatte.",Tesla,"Wer entwarf die Beleuchtungssysteme, die Tesla Electric Light & Manufacturing installierte?"
"Im Jahr 1900 erhielt Tesla Patente für ein „System zur Übertragung elektrischer Energie“ und einen „elektrischen Transmitter“. Als Guglielmo Marconi 1901 die berühmte allererste transatlantische Funkübertragung ausstrahlte, witzelte Tesla, dass 17 Tesla-Patente dafür verwendet worden seien. Es gibt jedoch wenig Anhaltspunkte, die diese Behauptung unterstützen. Dies war der Beginn jahrelanger Patentkämpfe über den Funk. Teslas Patente wurden 1903 zuerst anerkannt, dann jedoch erfolgte 1904 eine gegenteilige Entscheidung zugunsten Marconis. Im Jahr 1943 stellte der Oberste Gerichtshof der Vereinigten Staaten in einem Beschluss die früheren Patente von Tesla, Oliver Lodge und John Stone wieder her. Das Gericht erklärte, dass die Entscheidung keinen Einfluss auf Marconis Anspruch auf die erste Funkübertragung habe, sondern dass er, da Marconis Anspruch auf bestimmte Patente fragwürdig war, keine Patentverletzung geltend machen konnte (es gibt Behauptungen, der Oberste Gerichtshof habe versucht, eine Klage der Firma Marconi aus dem ersten Weltkrieg gegen die US-Regierung für nichtig zu erklären, indem er Teslas Patente wiederherstellte).",1900,Wann erhielt Tesla das Patent für einen elektrischen Transmitter?
"Im Jahr 1900 erhielt Tesla Patente für ein „System zur Übertragung elektrischer Energie“ und einen „elektrischen Transmitter“. Als Guglielmo Marconi 1901 die berühmte allererste transatlantische Funkübertragung ausstrahlte, witzelte Tesla, dass 17 Tesla-Patente dafür verwendet worden seien. Es gibt jedoch wenig Anhaltspunkte, die diese Behauptung unterstützen. Dies war der Beginn jahrelanger Patentkämpfe über den Funk. Teslas Patente wurden 1903 zuerst anerkannt, dann jedoch erfolgte 1904 eine gegenteilige Entscheidung zugunsten Marconis. Im Jahr 1943 stellte der Oberste Gerichtshof der Vereinigten Staaten in einem Beschluss die früheren Patente von Tesla, Oliver Lodge und John Stone wieder her. Das Gericht erklärte, dass die Entscheidung keinen Einfluss auf Marconis Anspruch auf die erste Funkübertragung habe, sondern dass er, da Marconis Anspruch auf bestimmte Patente fragwürdig war, keine Patentverletzung geltend machen konnte (es gibt Behauptungen, der Oberste Gerichtshof habe versucht, eine Klage der Firma Marconi aus dem ersten Weltkrieg gegen die US-Regierung für nichtig zu erklären, indem er Teslas Patente wiederherstellte).",Guglielmo Marconi,Wer schickte zuerst Funkwellen über den Atlantik?
"Im Jahr 1900 erhielt Tesla Patente für ein „System zur Übertragung elektrischer Energie“ und einen „elektrischen Transmitter“. Als Guglielmo Marconi 1901 die berühmte allererste transatlantische Funkübertragung ausstrahlte, witzelte Tesla, dass 17 Tesla-Patente dafür verwendet worden seien. Es gibt jedoch wenig Anhaltspunkte, die diese Behauptung unterstützen. Dies war der Beginn jahrelanger Patentkämpfe über den Funk. Teslas Patente wurden 1903 zuerst anerkannt, dann jedoch erfolgte 1904 eine gegenteilige Entscheidung zugunsten Marconis. Im Jahr 1943 stellte der Oberste Gerichtshof der Vereinigten Staaten in einem Beschluss die früheren Patente von Tesla, Oliver Lodge und John Stone wieder her. Das Gericht erklärte, dass die Entscheidung keinen Einfluss auf Marconis Anspruch auf die erste Funkübertragung habe, sondern dass er, da Marconis Anspruch auf bestimmte Patente fragwürdig war, keine Patentverletzung geltend machen konnte (es gibt Behauptungen, der Oberste Gerichtshof habe versucht, eine Klage der Firma Marconi aus dem ersten Weltkrieg gegen die US-Regierung für nichtig zu erklären, indem er Teslas Patente wiederherstellte).",1901,Wann fand Marconis Funkdemonstration statt?
"Im Jahr 1900 erhielt Tesla Patente für ein „System zur Übertragung elektrischer Energie“ und einen „elektrischen Transmitter“. Als Guglielmo Marconi 1901 die berühmte allererste transatlantische Funkübertragung ausstrahlte, witzelte Tesla, dass 17 Tesla-Patente dafür verwendet worden seien. Es gibt jedoch wenig Anhaltspunkte, die diese Behauptung unterstützen. Dies war der Beginn jahrelanger Patentkämpfe über den Funk. Teslas Patente wurden 1903 zuerst anerkannt, dann jedoch erfolgte 1904 eine gegenteilige Entscheidung zugunsten Marconis. Im Jahr 1943 stellte der Oberste Gerichtshof der Vereinigten Staaten in einem Beschluss die früheren Patente von Tesla, Oliver Lodge und John Stone wieder her. Das Gericht erklärte, dass die Entscheidung keinen Einfluss auf Marconis Anspruch auf die erste Funkübertragung habe, sondern dass er, da Marconis Anspruch auf bestimmte Patente fragwürdig war, keine Patentverletzung geltend machen konnte (es gibt Behauptungen, der Oberste Gerichtshof habe versucht, eine Klage der Firma Marconi aus dem ersten Weltkrieg gegen die US-Regierung für nichtig zu erklären, indem er Teslas Patente wiederherstellte).",1943,Wann wurden die Patente von Tesla wiederhergestellt?
"Im Jahr 1900 erhielt Tesla Patente für ein „System zur Übertragung elektrischer Energie“ und einen „elektrischen Transmitter“. Als Guglielmo Marconi 1901 die berühmte allererste transatlantische Funkübertragung ausstrahlte, witzelte Tesla, dass 17 Tesla-Patente dafür verwendet worden seien. Es gibt jedoch wenig Anhaltspunkte, die diese Behauptung unterstützen. Dies war der Beginn jahrelanger Patentkämpfe über den Funk. Teslas Patente wurden 1903 zuerst anerkannt, dann jedoch erfolgte 1904 eine gegenteilige Entscheidung zugunsten Marconis. Im Jahr 1943 stellte der Oberste Gerichtshof der Vereinigten Staaten in einem Beschluss die früheren Patente von Tesla, Oliver Lodge und John Stone wieder her. Das Gericht erklärte, dass die Entscheidung keinen Einfluss auf Marconis Anspruch auf die erste Funkübertragung habe, sondern dass er, da Marconis Anspruch auf bestimmte Patente fragwürdig war, keine Patentverletzung geltend machen konnte (es gibt Behauptungen, der Oberste Gerichtshof habe versucht, eine Klage der Firma Marconi aus dem ersten Weltkrieg gegen die US-Regierung für nichtig zu erklären, indem er Teslas Patente wiederherstellte).",Oberste Gerichtshof der Vereinigten Staaten,"Von welcher Institution stammt die Entscheidung, Teslas Patente wiederherzustellen?"
In den Jahren nach diesen Gerüchten gewannen weder Tesla noch Edison den Nobelpreis (obwohl Edison 1915 eine von 38 möglichen Nominierungen erhielt und Tesla 1937 eine von 38 möglichen Nominierungen).,38,Wie viele mögliche Nominierungen für den Preis gab es 1915?
In den Jahren nach diesen Gerüchten gewannen weder Tesla noch Edison den Nobelpreis (obwohl Edison 1915 eine von 38 möglichen Nominierungen erhielt und Tesla 1937 eine von 38 möglichen Nominierungen).,Edison,Wer erhielt 1915 eine Nominierung?
In den Jahren nach diesen Gerüchten gewannen weder Tesla noch Edison den Nobelpreis (obwohl Edison 1915 eine von 38 möglichen Nominierungen erhielt und Tesla 1937 eine von 38 möglichen Nominierungen).,1937,In welchem Jahr erhielt Tesla eine Nominierung für den Nobelpreis?
"Seine religiösen Ansichten bleiben aufgrund einiger anderer Aussagen jedoch ungewiss. In seinem Artikel „A Machine to End War“, der 1937 veröffentlicht wurde, sagte Tesla beispielsweise:",„A Machine to End War“,Welcher Artikel wurde 1937 veröffentlicht?
"Seine religiösen Ansichten bleiben aufgrund einiger anderer Aussagen jedoch ungewiss. In seinem Artikel „A Machine to End War“, der 1937 veröffentlicht wurde, sagte Tesla beispielsweise:",ungewiss,Wie lauten aufgrund bestimmter Aussagen seine religiösen Ansichten?
"Seine religiösen Ansichten bleiben aufgrund einiger anderer Aussagen jedoch ungewiss. In seinem Artikel „A Machine to End War“, der 1937 veröffentlicht wurde, sagte Tesla beispielsweise:",War,Was sollte die Maschine im Titel des Artikels beenden?
"Die Komplexitätstheorie ist ein Zweig der Berechnungstheorie in der theoretischen Informatik, der sich darauf konzentriert, Rechenprobleme nach ihrer inhärenten Schwierigkeit zu klassifizieren und diese Klassen miteinander in Beziehung zu setzen. Unter einem Rechenproblem versteht man eine Aufgabe, die grundsätzlich von einem Computer gelöst werden kann. Dies ist gleichbedeutend mit der Aussage, dass das Problem durch die mechanische Anwendung mathematischer Schritte, beispielsweise durch einen Algorithmus, gelöst werden kann.",Komplexitätstheorie,Welcher Zweig der theoretischen Informatik beschäftigt sich mit der breiten Klassifizierung von Rechenproblemen nach Schwierigkeit und Beziehungsklassen?
"Die Komplexitätstheorie ist ein Zweig der Berechnungstheorie in der theoretischen Informatik, der sich darauf konzentriert, Rechenprobleme nach ihrer inhärenten Schwierigkeit zu klassifizieren und diese Klassen miteinander in Beziehung zu setzen. Unter einem Rechenproblem versteht man eine Aufgabe, die grundsätzlich von einem Computer gelöst werden kann. Dies ist gleichbedeutend mit der Aussage, dass das Problem durch die mechanische Anwendung mathematischer Schritte, beispielsweise durch einen Algorithmus, gelöst werden kann.",nach ihrer inhärenten Schwierigkeit,Nach welchem Hauptattribut werden Rechenprobleme unter Verwendung der Komplexitätstheorie klassifiziert?
"Die Komplexitätstheorie ist ein Zweig der Berechnungstheorie in der theoretischen Informatik, der sich darauf konzentriert, Rechenprobleme nach ihrer inhärenten Schwierigkeit zu klassifizieren und diese Klassen miteinander in Beziehung zu setzen. Unter einem Rechenproblem versteht man eine Aufgabe, die grundsätzlich von einem Computer gelöst werden kann. Dies ist gleichbedeutend mit der Aussage, dass das Problem durch die mechanische Anwendung mathematischer Schritte, beispielsweise durch einen Algorithmus, gelöst werden kann.",Rechenprobleme,"Wie lautet der Begriff für eine Aufgabe, die sich im Allgemeinen für die Lösung durch einen Computer anbietet?"
"Bei der Betrachtung von Rechenproblemen stellt ein String in einem Alphabet eine Probleminstanz dar. Normalerweise wird das binäre Alphabet (d.h. die Menge {0,1}) als Alphabet angenommen, woraus folgt, dass die Strings Bitketten sind. Wie in einem realen Computer müssen mathematische Objekte, die keine Bitketten sind, entsprechend kodiert werden. So können beispielsweise ganze Zahlen in binärer Notation dargestellt und Graphen direkt über ihre Adjazenzmatrizen oder durch Kodierung der Adjazenzlisten in binärer Form kodiert werden.",Probleminstanz,Als was kann ein String in einem Alphabet bei der Betrachtung von Rechenproblemen beschrieben werden?
"Bei der Betrachtung von Rechenproblemen stellt ein String in einem Alphabet eine Probleminstanz dar. Normalerweise wird das binäre Alphabet (d.h. die Menge {0,1}) als Alphabet angenommen, woraus folgt, dass die Strings Bitketten sind. Wie in einem realen Computer müssen mathematische Objekte, die keine Bitketten sind, entsprechend kodiert werden. So können beispielsweise ganze Zahlen in binärer Notation dargestellt und Graphen direkt über ihre Adjazenzmatrizen oder durch Kodierung der Adjazenzlisten in binärer Form kodiert werden.",das binäre Alphabet,"Wie lautet der Name des Alphabets, das am häufigsten in einer Probleminstanz verwendet wird?"
